City,Date,lat,lon
Laguna Niguel,7/13/2010,33.5225261,-117.7075526
Huron,7/14/2010,36.2027308,-120.1029177
El Monte/Monterey Park (between),7/14/2010,36.778261,-119.4179324
Davis,7/15/2010,38.5449065,-121.7405167
Los Feliz,7/15/2010,34.1063307,-118.2848199
Huntington Beach,7/15/2010,33.660297,-117.9992265
North Hollywood,7/15/2010,34.187044,-118.3812562
Berry Creek,7/15/2010,39.6451637,-121.4032995
Orange,7/16/2010,33.7877944,-117.8531119
Hemet,7/16/2010,33.7475203,-116.9719684
Malibu,7/16/2010,34.0259216,-118.7797571
San Pedro,7/16/2010,33.7360619,-118.2922461
Three Rivers,7/17/2010,36.4388364,-118.9045445
Orange,7/18/2010,33.7877944,-117.8531119
Los Angeles,7/18/2010,34.0522342,-118.2436849
Desert Center,7/18/2010,33.7133313,-115.4004287
Coalinga,7/18/2010,36.139678,-120.3601496
Nevada City,7/19/2010,39.2615606,-121.0160594
National Forest,7/20/2010,37.542448,-119.64454
Rocklin,7/20/2010,38.7907339,-121.2357828
Bishop,7/21/2010,37.3614238,-118.3996636
Lodi,7/22/2010,38.1341477,-121.2722194
Rohnert Park,7/23/2010,38.3396367,-122.7010984
Huntington Beach,7/23/2010,33.660297,-117.9992265
Temecula,7/24/2010,33.4936391,-117.1483648
Davis,7/24/2010,38.5449065,-121.7405167
Half Moon Bay,7/24/2010,37.4635519,-122.4285862
Jamestown,7/25/2010,37.9532584,-120.4226952
Vacaville,7/26/2010,38.3565773,-121.9877444
Amboy,7/26/2010,34.5577721,-115.7444411
Barstow and Needles (between),7/26/2010,36.778261,-119.4179324
Playa del Rey,7/27/2010,33.9564194,-118.4422317
Clayton,7/28/2010,37.9410341,-121.9357925
Gustine,7/28/2010,37.2577171,-120.9988154
Chico,7/28/2010,39.7284944,-121.8374777
Clovis,7/29/2010,36.8252277,-119.7029194
Arcadia,7/29/2010,34.1397292,-118.0353449
Ridgecrest,7/29/2010,35.6224561,-117.6708966
Rocklin,7/29/2010,38.7907339,-121.2357828
Thousand Oaks,7/30/2010,34.1705609,-118.8375937
Ridgecrest,7/30/2010,35.6224561,-117.6708966
Cutler,7/30/2010,36.5232833,-119.2867823
Los Angeles,7/31/2010,34.0522342,-118.2436849
Oregon House,7/31/2010,39.3443429,-121.2651609
Riverside,7/31/2010,33.9533487,-117.3961564
Coalinga (near),7/31/2010,36.139678,-120.3601496
Sacramento,7/31/2010,38.5815719,-121.4943996
Long Beach,8/1/2010,33.7700504,-118.1937395
Whittier,8/1/2010,33.9791793,-118.032844
Moorpark,8/1/2010,34.285558,-118.8820414
