Column1,Date...Time,City,Date,Month,Year,lat,lon
4627,12/12/2009 21:30,Santa Monica,12/12/2009,9-Dec,2009,34.0194543,-118.4911912
4626,12/12/2009 22:30,Long Beach,12/12/2009,9-Dec,2009,33.7700504,-118.1937395
4625,12/13/2009 17:15,West Covina,12/13/2009,9-Dec,2009,34.0686208,-117.9389526
4624,12/13/2009 23:00,Ontario,12/13/2009,9-Dec,2009,34.0633443,-117.6508876
4622,12/14/2009 0:00,San Carlos,12/14/2009,9-Dec,2009,37.5071591,-122.2605222
4623,12/14/2009 4:45,Temecula,12/14/2009,9-Dec,2009,33.4936391,-117.1483648
4621,12/15/2009 19:00,Huntington Beach,12/15/2009,9-Dec,2009,33.660297,-117.9992265
4620,12/16/2009 8:00,Perris,12/16/2009,9-Dec,2009,33.7825194,-117.2286478
4619,12/16/2009 21:20,Colton,12/16/2009,9-Dec,2009,34.0739016,-117.3136547
4618,12/17/2009 20:00,Berkeley,12/17/2009,9-Dec,2009,37.8715926,-122.272747
4617,12/18/2009 20:10,Leggett,12/18/2009,9-Dec,2009,39.8654841,-123.7148275
4616,12/19/2009 1:45,Campbell,12/19/2009,9-Dec,2009,37.2871651,-121.9499568
4615,12/19/2009 18:25,San Francisco,12/19/2009,9-Dec,2009,37.7749295,-122.4194155
4614,12/20/2009 5:45,Hollister ( Lone Tree Road),12/20/2009,9-Dec,2009,36.8932057,-121.2910617
4613,12/20/2009 6:13,Carlsbad,12/20/2009,9-Dec,2009,33.1580933,-117.3505939
4612,12/20/2009 17:15,Simi Valley,12/20/2009,9-Dec,2009,34.2694474,-118.781482
4611,12/20/2009 18:30,Chula Vista,12/20/2009,9-Dec,2009,32.6400541,-117.0841955
4610,12/20/2009 19:00,Salinas,12/20/2009,9-Dec,2009,36.6777372,-121.6555013
4609,12/20/2009 21:00,Fullerton,12/20/2009,9-Dec,2009,33.8703596,-117.9242966
4608,12/23/2009 3:10,Chico,12/23/2009,9-Dec,2009,39.7284944,-121.8374777
4607,12/24/2009 18:30,Anaheim,12/24/2009,9-Dec,2009,33.8352932,-117.9145036
4606,12/24/2009 23:35,Phillips Ranch,12/24/2009,9-Dec,2009,34.0362084,-117.7842637
4605,12/25/2009 0:30,Downey,12/25/2009,9-Dec,2009,33.9401088,-118.1331593
4604,12/25/2009 3:00,Los Gatos,12/25/2009,9-Dec,2009,37.2358078,-121.9623751
4603,12/26/2009 0:00,Riverside,12/26/2009,9-Dec,2009,33.9533487,-117.3961564
4602,12/27/2009 22:00,Riverside,12/27/2009,9-Dec,2009,33.9533487,-117.3961564
4601,12/31/2009 0:00,Lemon Grove,12/31/2009,9-Dec,2009,32.7425516,-117.0314172
4600,12/31/2009 10:30,N. Hollywood,12/31/2009,9-Dec,2009,34.187044,-118.3812562
4599,12/31/2009 23:45,Covina,12/31/2009,9-Dec,2009,34.0900091,-117.8903397
4598,12/31/2009 23:59,El Cajon,12/31/2009,9-Dec,2009,32.7947731,-116.9625269
4592,1/1/2010 0:00,El Cajon,1/1/2010,10-Jan,2010,32.7947731,-116.9625269
4595,1/1/2010 0:00,El Cajon,1/1/2010,10-Jan,2010,32.7947731,-116.9625269
4594,1/1/2010 0:00,La Mesa,1/1/2010,10-Jan,2010,32.7678287,-117.0230839
